Transaction ID,Customer ID,Account Number,Transaction Date,Transaction Type,Transaction Amount,Account Balance,Customer Name,Customer Age,Customer Gender,Account Type,Branch Code,Currency,Transaction Status,Interest Rate (%),Loan Amount,Loan Duration (Years),Credit Score,Monthly Income,Employment Status
T000062,C8629,AC99323229,3/3/2022,Payment,137.79,21030.09,Alice Johnson,43,Male,Credit,BR955,EUR,Completed,3,,16,372,9065.36,Self-employed
T000063,C2016,AC91638280,5/17/2022,Deposit,6848.53,46277.32,John Doe,31,Female,Checking,BR805,GBP,Failed,1.45,27046.93,18,309,3287.73,Self-employed
T000064,C8869,AC84380340,3/22/2022,Deposit,1754.61,6482.15,John Doe,24,Female,Checking,BR275,GBP,Completed,2.76,29244.77,,421,6144.38,Employed
T000065,C7439,AC66761259,2/27/2022,Withdrawal,6587.3,26304.8,Bob Brown,50,Female,Credit,BR644,USD,Pending,2.92,16594.57,10,812,2666.51,Unemployed
T000066,C8892,AC13266402,9/3/2022,Deposit,9918.25,39539.6,Bob Brown,43,Male,Savings,BR669,EUR,Pending,4.59,21480.85,16,740,7143.71,Employed
T000067,C7863,AC57044083,7/17/2022,Payment,819.44,47184.03,Alice Johnson,62,Female,Savings,BR566,USD,Completed,2.58,,23,337,4451.79,Unemployed
T000068,C8916,AC34899065,7/19/2023,Withdrawal,863.07,37592.06,Alice Johnson,37,Male,Checking,BR300,EUR,Pending,4.81,10900.45,,644,9301.22,Self-employed
T000069,C9529,AC68436437,5/26/2022,Withdrawal,3469.76,36307.71,Carol White,20,Male,Credit,BR639,USD,Failed,2.94,25491.39,11,637,11006.51,Self-employed
T000070,C1878,AC74910615,10/23/2022,Withdrawal,8677.23,41497.92,Jane Smith,69,Female,Savings,BR646,EUR,Pending,4.9,,,483,8917.56,Unemployed
T000071,C5887,AC97994960,4/7/2022,Payment,2233.75,22863.86,Alice Johnson,21,Male,Savings,BR736,EUR,Completed,1.03,,1,366,7645.08,Unemployed
T000072,C5859,AC24072989,11/18/2022,Transfer,3667.74,40486.38,Bob Brown,43,Male,Checking,BR493,GBP,Failed,4.6,,29,316,7035.33,Employed
T000073,C7331,AC90235127,1/14/2022,Payment,778.2,1390.26,Alice Johnson,28,Male,Credit,BR932,USD,Pending,4.72,28346.37,,682,12941.99,Unemployed
T000074,C9571,AC81370810,2/26/2022,Deposit,7655.24,46303.49,John Doe,19,Male,Savings,BR141,GBP,Failed,4.84,6514.26,,667,4851.78,Self-employed
T000075,C9684,AC93976173,2/10/2023,Deposit,4142.23,22722.02,Jane Smith,31,Male,Checking,BR696,GBP,Completed,1.05,,,615,11544.84,Employed
T000076,C8208,AC19944790,10/31/2022,Payment,7616.56,28115.63,Carol White,61,Male,Savings,BR492,EUR,Pending,1.69,23207.26,,796,11847.27,Unemployed
T000077,C6276,AC89908991,11/20/2022,Payment,9045.72,13489.23,John Doe,47,Female,Savings,BR799,USD,Failed,3.62,,28,644,7449.6,Unemployed
T000078,C3062,AC91447632,11/10/2022,Withdrawal,2404.36,37384.01,John Doe,66,Male,Savings,BR722,EUR,Failed,1.1,44315.27,,772,5864.91,Employed
T000079,C1064,AC78841329,2/15/2023,Payment,8093.22,4755.15,Jane Smith,29,Male,Checking,BR882,EUR,Pending,1.25,,,414,8117.04,Unemployed
T000080,C9006,AC63505232,11/29/2022,Withdrawal,685.03,43759.15,Carol White,43,Male,Credit,BR540,EUR,Failed,1.88,5953.65,,399,3211.78,Self-employed
T000081,C3568,AC90218637,6/13/2022,Deposit,8998.59,41577.72,Bob Brown,61,Male,Checking,BR936,USD,Failed,3.05,,1,737,2597.09,Employed
T000082,C6463,AC54599847,10/11/2022,Withdrawal,6542.61,11586.95,Carol White,50,Female,Credit,BR716,USD,Completed,3.18,26402.93,8,644,3450.84,Unemployed
T000083,C3027,AC58730049,3/23/2022,Payment,8754.84,40656.9,Alice Johnson,30,Female,Savings,BR605,EUR,Completed,1.14,,,648,4432.89,Self-employed
T000084,C3695,AC46413676,9/16/2022,Deposit,101.87,39531.53,John Doe,31,Male,Credit,BR419,USD,Completed,1.68,43716.66,,438,8554.3,Unemployed
T000085,C6258,AC43877350,6/30/2023,Transfer,1773.9,31978.61,Alice Johnson,41,Male,Savings,BR652,EUR,Completed,3,29396.19,,623,13038.78,Employed
T000086,C6618,AC71658869,12/28/2022,Withdrawal,3958.62,19302.49,Bob Brown,51,Male,Savings,BR314,USD,Completed,3.38,36033.61,,601,5063.35,Unemployed
T000087,C7736,AC96131989,8/19/2022,Deposit,3857.08,14303.44,Alice Johnson,61,Female,Checking,BR170,USD,Completed,1.59,,14,593,14157.11,Unemployed
T000088,C1391,AC76374125,7/13/2022,Withdrawal,2344.63,12357.4,Carol White,43,Female,Savings,BR667,GBP,Pending,2.6,24784.51,,828,14413.8,Unemployed
T000089,C6892,AC77225603,9/5/2022,Deposit,3877.96,16611.84,Alice Johnson,38,Female,Checking,BR335,EUR,Completed,4.62,25082.9,10,591,14465.76,Self-employed
T000090,C4561,AC41251097,4/7/2023,Deposit,1375.6,45274.36,Bob Brown,45,Female,Credit,BR380,GBP,Failed,5,23491.47,,373,12888.32,Self-employed
T000091,C7184,AC76268268,3/21/2022,Withdrawal,4186.34,4804.4,Bob Brown,65,Male,Credit,BR716,GBP,Pending,4.95,,,783,6729.73,Unemployed
T000092,C4099,AC25985249,6/30/2022,Transfer,8043.31,41614.69,Bob Brown,53,Female,Savings,BR986,EUR,Failed,4.53,16269.95,7,315,2944.89,Unemployed
T000093,C7278,AC88987338,11/29/2022,Deposit,4842.79,18095.61,Carol White,57,Female,Checking,BR261,EUR,Completed,2.58,,,825,9394.64,Employed
T000094,C9392,AC53309893,10/6/2022,Deposit,278.2,26558.37,Bob Brown,19,Male,Savings,BR290,USD,Completed,3.75,19988.85,,635,9262.86,Unemployed
T000095,C4104,AC44569361,10/5/2022,Deposit,4272.3,39929.8,John Doe,59,Male,Checking,BR108,EUR,Failed,2.67,,,815,13049.68,Employed
T000096,C8215,AC20971177,7/31/2022,Transfer,369.03,44334.45,Bob Brown,26,Female,Checking,BR159,GBP,Failed,3.59,,,426,14947.88,Self-employed
T000097,C3454,AC70200291,12/10/2022,Transfer,9665.81,17894.29,Alice Johnson,40,Female,Checking,BR992,GBP,Failed,2.24,5604.03,18,817,8606.04,Unemployed
T000098,C9996,AC30080673,7/9/2022,Payment,1361.79,23630.33,Alice Johnson,32,Female,Credit,BR916,EUR,Pending,3.42,,,428,6487.65,Employed
T000099,C3731,AC84052985,5/7/2023,Withdrawal,7106.11,21311.29,Alice Johnson,30,Female,Checking,BR324,GBP,Completed,3.1,,,810,4416.72,Self-employed
T000100,C9154,AC16238795,8/19/2022,Transfer,9730.49,1649.3,Carol White,40,Male,Credit,BR918,USD,Failed,1.1,5974.16,10,722,2062.4,Employed
T000101,C6056,AC91266262,3/24/2022,Withdrawal,8277.79,15501.2,Alice Johnson,34,Male,Checking,BR799,GBP,Completed,4.16,,,684,8618.48,Self-employed
T000102,C9110,AC65098996,6/14/2023,Payment,7023.22,23500.27,Carol White,65,Female,Credit,BR681,USD,Failed,1.05,,14,531,9221.74,Unemployed
T000103,C4840,AC57226729,3/18/2022,Withdrawal,8410.66,21143.59,Carol White,19,Female,Credit,BR904,GBP,Completed,2.17,,,494,12724.2,Employed
T000104,C2028,AC74504149,8/10/2022,Transfer,9819.81,36374.53,Bob Brown,37,Female,Credit,BR386,USD,Pending,1.02,,,364,8559.5,Unemployed
T000105,C8385,AC61048404,12/31/2022,Withdrawal,6251.31,19855.38,John Doe,37,Female,Savings,BR268,USD,Completed,2.5,38463.29,,576,13914.09,Employed
T000106,C1502,AC68771482,9/4/2022,Transfer,5635.93,24979.45,Bob Brown,63,Female,Checking,BR161,EUR,Failed,1.25,,2,523,10165.09,Self-employed
T000107,C7910,AC80860062,11/21/2022,Withdrawal,6319.56,22050.82,Bob Brown,20,Male,Savings,BR448,USD,Completed,4.65,,29,577,12924.37,Employed
T000108,C7938,AC67701082,10/4/2022,Transfer,5373.49,37290.68,Carol White,29,Male,Checking,BR541,EUR,Pending,2.66,16017.78,,665,3927.92,Employed
T000109,C5488,AC25732903,7/19/2023,Transfer,6387.38,43285.65,Carol White,57,Male,Checking,BR113,GBP,Pending,2.84,37244.91,21,815,13119.37,Unemployed
T000110,C1206,AC13138145,7/15/2023,Withdrawal,4553.44,27062.56,Alice Johnson,19,Female,Savings,BR263,GBP,Completed,2.4,,,514,10776.87,Unemployed
T000111,C6134,AC39063435,7/8/2023,Payment,2262.59,39682.18,Alice Johnson,53,Female,Credit,BR519,GBP,Failed,3.51,14530.97,29,738,4213.03,Unemployed
T000112,C6977,AC44780908,7/18/2022,Deposit,1290.45,15542.55,Bob Brown,31,Male,Checking,BR856,USD,Pending,4.14,43299.99,,727,4466.93,Self-employed
T000113,C8721,AC47738488,9/16/2022,Payment,776.58,27527.11,Jane Smith,33,Male,Credit,BR946,GBP,Pending,3.59,24233.2,10,695,14044.51,Unemployed
T000114,C8035,AC92125254,3/4/2023,Withdrawal,2706.83,17916.27,Jane Smith,36,Female,Savings,BR619,GBP,Completed,3.99,48288.99,,508,2418.8,Employed
T000115,C2484,AC56361481,7/20/2023,Payment,556.62,21295.85,Alice Johnson,51,Male,Credit,BR765,EUR,Pending,4.62,37530.55,21,800,8012.95,Self-employed
T000116,C8858,AC45055276,3/5/2023,Transfer,5714.99,36888.28,Jane Smith,61,Female,Checking,BR647,EUR,Pending,4.45,34005.34,9,762,6075.18,Unemployed
T000117,C1863,AC63775257,7/7/2023,Deposit,2909.9,44201.46,Alice Johnson,63,Female,Checking,BR659,GBP,Failed,3.7,37775.88,15,526,10646.01,Employed
T000118,C3790,AC44954715,1/12/2022,Withdrawal,8262.89,6953.27,Carol White,23,Male,Checking,BR696,GBP,Failed,1.86,26514.37,28,674,12915.18,Employed
T000119,C8408,AC99813693,6/18/2022,Withdrawal,834.98,32097.32,Bob Brown,30,Male,Savings,BR127,USD,Failed,3.55,27735.19,,799,6684.92,Self-employed
T000120,C9755,AC91250937,9/10/2022,Withdrawal,2340.88,29525.05,John Doe,53,Male,Checking,BR807,USD,Completed,3.02,,,392,7549.73,Employed
T000121,C6116,AC77800621,9/29/2022,Deposit,7329.44,6802.34,Bob Brown,39,Female,Savings,BR545,GBP,Pending,3.87,,28,759,14764.93,Unemployed
T000122,C7019,AC77499583,1/1/2023,Transfer,6028.2,11382.82,Alice Johnson,35,Female,Credit,BR307,EUR,Completed,4.33,,,620,12190.91,Employed
T000123,C2757,AC53470977,7/28/2023,Withdrawal,738.46,16239.12,Alice Johnson,29,Male,Checking,BR569,GBP,Pending,3.97,,26,309,13663.65,Unemployed
T000124,C8574,AC53092987,7/6/2022,Payment,8784.67,9179.62,Bob Brown,69,Female,Checking,BR815,USD,Pending,4.39,,,602,7703.91,Unemployed
T000125,C7374,AC92822506,2/9/2023,Withdrawal,8784.89,12942.74,Alice Johnson,47,Female,Checking,BR918,EUR,Pending,1.26,36509.66,14,621,5042.99,Self-employed
T000126,C7892,AC97182130,4/13/2023,Withdrawal,3371.04,14112.44,Jane Smith,68,Female,Credit,BR203,EUR,Failed,1.13,27603.58,,755,7354.23,Employed
T000127,C2678,AC50381731,7/8/2022,Withdrawal,3470.02,17448.02,Jane Smith,57,Male,Checking,BR841,USD,Completed,2.03,,,577,11309.19,Self-employed
T000128,C4242,AC34694812,3/18/2022,Withdrawal,9891.38,37720.13,Alice Johnson,24,Female,Savings,BR525,GBP,Completed,4.6,,26,837,3422.6,Self-employed
T000129,C5636,AC71399188,9/26/2022,Transfer,6299.14,29023.7,Alice Johnson,49,Male,Credit,BR200,GBP,Pending,4.29,18121,6,692,5516.1,Self-employed
T000130,C2059,AC41970599,4/18/2023,Payment,5360.03,49326.09,Jane Smith,65,Male,Credit,BR640,GBP,Completed,3.73,,19,394,2606.27,Unemployed
T000131,C7668,AC61207679,7/15/2023,Transfer,8397.71,21322.06,Alice Johnson,36,Female,Credit,BR738,USD,Failed,3.8,15722.95,4,406,7620.52,Unemployed
T000132,C4157,AC49787171,10/5/2022,Payment,2924.37,37939.39,Alice Johnson,23,Male,Credit,BR949,EUR,Completed,3.91,,20,689,12756.79,Unemployed
T000133,C6915,AC11270896,11/4/2022,Withdrawal,4348.91,43701.95,Bob Brown,37,Female,Credit,BR621,USD,Pending,4.77,44058.4,,825,2320.63,Unemployed
T000134,C3693,AC21952314,4/3/2023,Deposit,2750.99,34269.95,John Doe,44,Male,Savings,BR205,GBP,Failed,4.33,,19,370,10779.21,Employed
T000135,C4627,AC78168486,1/26/2023,Transfer,7912.69,21181.37,Jane Smith,60,Male,Credit,BR778,USD,Failed,3.49,26284.14,,675,14122.45,Employed
T000136,C6450,AC81531239,6/24/2023,Deposit,5776.16,37926.14,Bob Brown,54,Female,Checking,BR868,EUR,Pending,3.66,,29,667,5080.06,Unemployed
T000137,C2663,AC26770274,10/6/2022,Transfer,6622.37,10979.69,John Doe,65,Male,Credit,BR906,USD,Completed,1.85,,,350,11017.25,Unemployed
T000138,C6592,AC60709813,12/19/2022,Withdrawal,2597.84,17050.06,Alice Johnson,24,Male,Credit,BR376,GBP,Pending,3.63,23708.04,,442,14676.32,Employed
T000139,C8392,AC41354977,1/11/2022,Transfer,2280.23,27787.58,Alice Johnson,22,Male,Credit,BR164,EUR,Completed,2.7,22083.39,13,718,14509.61,Self-employed
T000140,C2306,AC41873646,11/29/2022,Withdrawal,4934.91,29195.06,Bob Brown,28,Female,Credit,BR882,USD,Completed,1.61,,9,847,5054.08,Self-employed
T000141,C7776,AC81240343,3/4/2023,Transfer,7401.9,2084.93,Alice Johnson,32,Female,Credit,BR287,USD,Failed,4.23,,,799,3304.3,Unemployed
T000142,C6864,AC52955157,1/12/2023,Withdrawal,5299.87,47310.6,Carol White,20,Male,Savings,BR416,EUR,Pending,3.04,34145.12,,466,3927.67,Self-employed
T000143,C8526,AC69365444,5/7/2023,Withdrawal,423.19,35134.74,Bob Brown,22,Male,Savings,BR237,EUR,Failed,4.91,25328.38,25,559,11126.46,Unemployed
T000144,C9901,AC74445751,2/22/2023,Payment,8698.66,25289.48,John Doe,40,Male,Credit,BR442,GBP,Pending,2.13,48591.12,,491,11434.87,Unemployed
T000145,C6575,AC95518073,7/13/2023,Withdrawal,740.4,46723.23,Bob Brown,54,Female,Savings,BR204,EUR,Pending,2.92,,,501,10765.08,Unemployed
T000146,C6530,AC46905710,6/6/2023,Payment,9562.66,22515.68,Jane Smith,26,Female,Checking,BR645,GBP,Failed,2.79,,,484,6369.02,Employed
T000147,C5413,AC62673683,6/9/2022,Withdrawal,348.91,49041.34,Bob Brown,32,Male,Credit,BR479,USD,Pending,1.48,23858.36,,457,4207.1,Self-employed
T000148,C4748,AC34755666,4/25/2023,Deposit,6975.06,26101.95,Alice Johnson,20,Female,Checking,BR209,GBP,Pending,2.7,,,398,9549.89,Employed
T000149,C1663,AC15703394,3/11/2023,Withdrawal,913.85,6600,Alice Johnson,46,Female,Checking,BR644,USD,Completed,2.15,,,540,8287.85,Self-employed
T000150,C2998,AC96654442,8/11/2022,Deposit,9115.7,38475.25,Carol White,23,Female,Credit,BR453,EUR,Pending,1.64,17316.95,23,790,11474.84,Employed
T000151,C8994,AC21415376,7/1/2023,Deposit,4697.89,34265.99,Carol White,34,Female,Checking,BR842,USD,Pending,2.13,,27,501,7737.68,Employed
T000152,C2495,AC86176890,2/22/2023,Withdrawal,1461.49,38876.35,Carol White,43,Male,Checking,BR416,EUR,Failed,1.93,20138.47,17,808,6402.32,Unemployed
T000153,C4304,AC23283692,7/7/2022,Deposit,3474.08,47620.66,John Doe,38,Female,Checking,BR365,USD,Failed,3.94,37678.2,3,395,5815.22,Unemployed
T000154,C4763,AC99817241,6/18/2022,Payment,1731.76,39047.98,Carol White,25,Female,Credit,BR793,USD,Pending,1.12,,,789,4749.11,Employed
T000155,C6232,AC33567809,4/3/2022,Transfer,1788.76,30955.49,John Doe,38,Male,Credit,BR951,USD,Completed,3.47,,8,517,5454.7,Self-employed
T000156,C2853,AC65182836,6/5/2023,Withdrawal,9486.27,43008.14,Carol White,28,Male,Checking,BR164,USD,Completed,4.04,38752.76,,826,3232.8,Self-employed
T000157,C7585,AC12721864,10/8/2022,Deposit,4507.94,33989.08,John Doe,55,Female,Credit,BR432,GBP,Failed,2.92,9465.3,,572,6509.14,Unemployed
T000158,C2291,AC64278856,11/17/2022,Withdrawal,7909.14,20997.83,Bob Brown,25,Female,Credit,BR612,USD,Pending,4.73,42757.21,2,518,2475.41,Unemployed
T000159,C4581,AC43458471,10/10/2022,Payment,6432.1,44395.37,Bob Brown,59,Male,Checking,BR232,GBP,Pending,3.83,,2,631,4423.38,Self-employed
T000160,C8554,AC50539152,9/2/2022,Withdrawal,6796.62,11873.12,Alice Johnson,41,Male,Credit,BR691,EUR,Completed,3.99,19510.04,,752,11708.02,Self-employed
T000161,C8280,AC38104320,3/25/2022,Withdrawal,1403.77,36017.42,John Doe,52,Male,Savings,BR882,EUR,Completed,1.79,46676.42,9,451,6231.1,Self-employed
T000162,C2636,AC84842172,7/20/2022,Deposit,2418.43,44196.61,Jane Smith,31,Female,Credit,BR852,GBP,Completed,4.11,40685.37,20,646,10687.08,Unemployed
